Mode,Cost_Mean,Time_Mean,Penalty_Mean,Runs
Full cooperative,182.73422414220545,1647.3333333333333,0.0,90
Truck + Direct-flight drone,186.06107332603176,1654.4444444444443,0.0,90
Truck + Truck-mounted drone,186.4114847983188,1640.4444444444443,0.0,90
Truck-only,179.19878234398786,1723.0,420.3333333333333,90
