Instance,Mode,Runs,Cost_Mean,Cost_Std,Time_Mean,Time_Std,Penalty_Mean,Penalty_Std,TruckService_Count_Mean,DirectService_Count_Mean,CarService_Count_Mean
c101.txt,Full cooperative,30,123.67590733360382,14.43502328342451,1759.3333333333333,133.8535827282759,0.0,0.0,97.83333333333331,0.5666666666666667,1.6
c101.txt,Truck + Direct-flight drone,30,117.7533727114078,9.762865298235896,1760.0,138.81269940910082,0.0,0.0,99.6,0.4,0.0
c101.txt,Truck + Truck-mounted drone,30,123.71782709436528,13.51448722464278,1750.3333333333333,124.33223937147773,0.0,0.0,98.26666666666668,0.0,1.7333333333333334
c101.txt,Truck-only,30,121.71552511415528,10.118273324757013,1710.0,84.7308110714608,0.0,0.0,100.0,0.0,0.0
r101.txt,Full cooperative,30,215.31234518122068,13.030707788265415,1495.3333333333333,134.64470060978582,0.0,0.0,89.5,5.2,5.3
r101.txt,Truck + Direct-flight drone,30,227.6820091363248,13.374939916464,1466.3333333333333,93.34708437289052,0.0,0.0,91.96666666666668,8.033333333333333,0.0
r101.txt,Truck + Truck-mounted drone,30,226.53534860499784,13.633112185602414,1454.3333333333333,88.96660874319291,0.0,0.0,90.53333333333332,0.0,9.466666666666669
r101.txt,Truck-only,30,189.86986301369865,14.772571915848744,1673.3333333333333,79.36529830292736,1261.0,650.5665965538994,100.0,0.0,0.0
rc101.txt,Full cooperative,30,209.21441991179185,13.714915120349874,1687.3333333333333,63.187369609447416,0.0,0.0,92.73333333333332,4.466666666666667,2.8
rc101.txt,Truck + Direct-flight drone,30,212.74783813036268,15.814250837007156,1737.0,90.17798492712754,0.0,0.0,96.33333333333331,3.6666666666666665,0.0
rc101.txt,Truck + Truck-mounted drone,30,208.98127869559335,11.980231131142911,1716.6666666666667,92.4879613166262,0.0,0.0,95.1,0.0,4.9
rc101.txt,Truck-only,30,226.0109589041096,9.9112016296467,1785.6666666666667,84.023122159744,0.0,0.0,100.0,0.0,0.0
