Truck_count,Cost_Mean,Time_Mean,Penalty_Mean,Runs
6,103.32741768574007,2225.6666666666665,16428.9290657495,30
8,145.4180073114823,1790.6666666666667,2171.137252158042,30
10,180.66077157547207,1645.3333333333333,0.0,30
12,203.06747851611195,1557.3333333333333,0.0,30
15,215.31234518122068,1495.3333333333333,0.0,30
