ExpID,Pc,Pm,Npop,ER,HVmean,Front_Sizemean,f1_cost_mean,f2_time_mean,f3_delay_mean,Selection_score
1,0.6,0.05,60,0.05,4133299742645.407,44.5,192.56534432000976,1667.606216081086,960.1934495442875,0.25
2,0.6,0.1,80,0.1,4148198643453.9546,54.1,186.88113201781803,1713.3929346773623,1222.153437583953,0.4284623463913113
3,0.6,0.15,100,0.15,4171081429248.843,66.1,184.31844517135465,1695.734191208217,1377.494461538996,0.7949987146202029
4,0.7,0.05,80,0.15,4166369024299.841,59.3,183.12642944167888,1731.6775680313726,1247.9419423787926,0.640623684895244
5,0.7,0.1,100,0.05,4177319520662.22,68.2,183.30350371579152,1739.057459078803,1533.9975635443177,0.7744267894572435
6,0.7,0.15,60,0.1,4155716520378.706,47.8,182.9016315200606,1729.2332462772167,1342.2867572086084,0.4333712243845895
7,0.8,0.05,100,0.1,4145294807859.93,48.8,182.1059855487756,1694.3273765589936,1155.159847716112,0.464791591160014
8,0.8,0.1,60,0.15,4137025078153.216,46.6,191.3143950923928,1691.6892157553405,1170.958701044295,0.2477030371188539
9,0.8,0.15,80,0.05,4159558111797.999,63.7,182.22348007874405,1734.5872809509965,1942.7459277585644,0.5690105702198996
