Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
TruckCount,T=8,r101.txt,4205,100,8,5,1,10.0,20.0,161.24679933738298,1780.0,0.0,77,9,14,23,8,3,5,47.631584882736206
TruckCount,T=8,r101.txt,4206,100,8,5,1,10.0,20.0,161.02430862194973,1750.0,0.0,76,11,13,24,8,4,4,47.19521808624268
TruckCount,T=8,r101.txt,4207,100,8,5,1,10.0,20.0,158.64313467050934,1750.0,0.0,80,8,12,20,8,3,4,46.17896389961243
TruckCount,T=8,r101.txt,4208,100,8,5,1,10.0,20.0,144.10594443649492,1770.0,476.28739937630417,83,8,9,17,7,3,4,44.94768190383911
TruckCount,T=8,r101.txt,4209,100,8,5,1,10.0,20.0,141.51109927595755,1830.0,2682.8533025558645,86,5,9,14,7,2,5,52.17542862892151
TruckCount,T=8,r101.txt,4210,100,8,5,1,10.0,20.0,170.2964930076654,1720.0,0.0,73,15,12,27,8,5,6,46.969844579696655
TruckCount,T=8,r101.txt,4211,100,8,5,1,10.0,20.0,165.35135495656067,1790.0,0.0,74,16,10,26,8,5,4,45.50449633598328
TruckCount,T=8,r101.txt,4212,100,8,5,1,10.0,20.0,142.27116063668427,1940.0,2870.0,86,3,11,14,8,1,7,46.33394432067871
TruckCount,T=8,r101.txt,4213,100,8,5,1,10.0,20.0,159.40375629179852,1820.0,0.0,76,17,7,24,8,4,3,47.18619513511658
TruckCount,T=8,r101.txt,4214,100,8,5,1,10.0,20.0,135.05527138802188,1700.0,4788.225763662915,87,7,6,13,7,2,3,46.9585816860199
TruckCount,T=8,r101.txt,4215,100,8,5,1,10.0,20.0,161.90880101698392,1780.0,0.0,79,10,11,21,8,4,4,47.2889301776886
TruckCount,T=8,r101.txt,4216,100,8,5,1,10.0,20.0,134.1302860666204,1850.0,5940.0,90,4,6,10,7,1,4,50.82074856758118
