N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4217,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4350900660586.769,16.31025,100,101.589041,127.235459,152.739726,1550.0,1879.166667,2130.0,0.0,0.0,0.0,99.416667,0.083333,0.5,0.583333,7.666667,0.083333,0.5,0.583333,12,1.0,1550.0,101.589041
100,4218,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,23,4347925929696.531,15.554337,100,102.246575,125.51189,186.126802,1550.0,1861.304348,2650.0,0.0,0.0,0.0,99.26087,0.130435,0.608696,0.73913,7.521739,0.130435,0.521739,0.478261,23,1.0,1550.0,102.246575
100,4219,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4335924003654.0063,19.439587,100,105.164384,129.501942,187.507307,1530.0,1917.5,2470.0,0.0,0.0,0.0,98.083333,0.416667,1.5,1.916667,7.583333,0.333333,0.666667,0.416667,12,1.0,1530.0,105.164384
100,4220,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,22,4364355501635.328,21.307816,100,98.825428,119.451943,179.77421,1530.0,2245.0,3070.0,0.0,4.545455,100.0,94.045455,0.636364,5.318182,5.954545,6.727273,0.454545,1.409091,0.090909,21,0.954545,1530.0,98.825428
100,4221,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,13,4342504429791.282,18.794566,100,103.643836,134.126643,179.191781,1530.0,1888.461538,2300.0,0.0,0.0,0.0,97.923077,0.307692,1.769231,2.076923,8.230769,0.307692,1.153846,0.230769,13,1.0,1530.0,103.643836
100,4222,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,26,4297256391454.0464,14.136579,100,113.972603,137.217659,181.428853,1490.0,1641.153846,1890.0,0.0,0.0,0.0,99.576923,0.230769,0.192308,0.423077,8.384615,0.115385,0.192308,0.923077,26,1.0,1490.0,113.972603
100,4223,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,15,4396702348292.4087,21.602251,100,92.343512,119.633957,169.757365,1530.0,2088.0,2980.0,0.0,6.242056,76.815417,95.2,0.066667,4.733333,4.8,6.866667,0.066667,1.133333,0.066667,13,0.866667,1530.0,92.343512
100,4224,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,13,4337680729255.262,23.830357,100,104.772038,127.566401,179.64735,1530.0,1856.153846,2650.0,0.0,0.0,0.0,97.615385,1.692308,0.692308,2.384615,7.461538,0.923077,0.307692,0.0,13,1.0,1530.0,104.772038
100,4225,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,36,4387190139161.372,19.266003,100,93.78589,113.750367,164.191781,1550.0,2314.722222,2840.0,0.0,15.555556,90.0,97.138889,1.694444,1.166667,2.861111,6.611111,0.861111,0.888889,0.222222,21,0.583333,1550.0,94.435673
100,4226,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,18,4410390496045.052,16.406427,100,89.606028,115.302,175.835616,1530.0,2003.888889,2690.0,0.0,0.0,0.0,98.666667,1.0,0.333333,1.333333,6.833333,0.5,0.222222,0.444444,18,1.0,1530.0,89.606028
100,4227,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,19,4349726234834.247,17.382193,100,102.164384,118.176254,150.589041,1540.0,1864.736842,2470.0,0.0,0.0,0.0,99.736842,0.157895,0.105263,0.263158,7.105263,0.105263,0.105263,0.789474,19,1.0,1540.0,102.164384
100,4228,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,19,4383676032271.426,19.697591,100,94.844756,129.165747,179.741309,1530.0,2138.947368,2710.0,0.0,6.842105,80.0,96.631579,1.421053,1.947368,3.368421,7.473684,0.578947,0.736842,0.210526,16,0.842105,1530.0,94.844756
100,4229,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4348320954527.6846,20.661547,100,103.027397,132.189588,187.382344,1500.0,1941.875,2650.0,0.0,0.625,10.0,96.375,0.4375,3.1875,3.625,7.6875,0.375,1.25,0.125,15,0.9375,1500.0,103.027397
100,4230,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,29,4382089023056.869,20.295292,100,94.964694,126.229249,190.849315,1530.0,2148.275862,4110.0,0.0,10.0,60.0,99.241379,0.241379,0.517241,0.758621,7.517241,0.206897,0.413793,0.551724,22,0.758621,1530.0,95.293461
100,4201,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4341022156834.551,9.425306,100,103.931507,137.49841,190.438356,1530.0,1801.25,2340.0,0.0,1.25,10.0,99.875,0.0,0.125,0.125,8.375,0.0,0.125,0.875,7,0.875,1530.0,115.986301
